深海浩劫 Deepwater Horizon|| 评分：7.0|| 导演: 彼得·博格|| 主演: 马克·沃尔伯格 / 迪伦·奥布莱恩 / 约翰·马尔科维奇|| 类型: 剧情 / 冒险 / 灾难|| 制片国家/地区: 美国/香港|| 年份: 2016
红颜容|| 评分：5.0|| 导演: 曹利民|| 主演: 孙锂华 / 梁愚 / 梁嘉玲|| 类型: 剧情 / 爱情|| 制片国家/地区: 中国大陆|| 年份: 2016
我不是潘金莲|| 评分：6.7|| 导演: 冯小刚|| 主演: 范冰冰 / 郭涛 / 大鹏|| 类型: 剧情 / 喜剧|| 制片国家/地区: 中国大陆|| 年份: 2016
勇士之门|| 评分：3.5|| 导演: 马蒂亚斯·霍恩|| 主演: 赵又廷 / 倪妮 / 尤赖亚·谢尔顿|| 类型: 奇幻 / 冒险|| 制片国家/地区: 中国大陆/法国|| 年份: 2016
阿拉丁与神灯 Les nouvelles aventures d'Aladin|| 评分：6.2|| 导演: 亚瑟·邦扎康|| 主演: 凯文·亚当斯 / 让-保罗·卢弗 / 凡妮莎·吉德|| 类型: 喜剧|| 制片国家/地区: 法国/比利时|| 年份: 2015
我是处女座|| 评分：2.9|| 导演: 陈兵|| 主演: 安以轩 / 安宰贤 / 方中信|| 类型: 剧情 / 爱情|| 制片国家/地区: 中国大陆|| 年份: 2016
辣警霸王花|| 评分：4.0|| 导演: 钱国伟|| 主演: 岑丽香 / 郑欣宜 / 何佩瑜|| 类型: 喜剧 / 动作|| 制片国家/地区: 香港|| 年份: 2016
白云桥|| 评分：2.8|| 导演: 钟萱|| 主演: 钟萱 / 温兆伦 / 刘宇珽|| 类型: 悬疑 / 惊悚|| 制片国家/地区: 中国大陆|| 年份: 2016
神奇动物在哪里 Fantastic Beasts and Where to Find Them|| 评分：7.8|| 导演: 大卫·叶茨|| 主演: 埃迪·雷德梅恩 / 凯瑟琳·沃特斯顿 / 丹·福勒|| 类型: 剧情 / 奇幻 / 冒险|| 制片国家/地区: 英国/美国|| 年份: 2016
海洋奇缘 Moana|| 评分：7.5|| 导演: 罗恩·克莱蒙兹 / 约翰·马斯克 / 唐·霍尔 / 克里斯·威廉姆斯|| 主演: 奥丽伊·卡瓦洛 / 道恩·强森 / 瑞切尔·豪斯|| 类型: 动画 / 奇幻 / 冒险 / 歌舞|| 制片国家/地区: 美国|| 年份: 2016
名侦探柯南：纯黑的恶梦 名探偵コナン 純黒の悪夢|| 评分：6.2|| 导演: 静野孔文|| 主演: 高山南 / 山崎和佳奈 / 小山力也|| 类型: 动画 / 悬疑|| 制片国家/地区: 日本|| 年份: 2016
